"Date","VALE3.SA.Open","VALE3.SA.High","VALE3.SA.Low","VALE3.SA.Close","VALE3.SA.Volume","VALE3.SA.Adjusted","RSI","StochK","WPR","MACD","MACDSignal","PROC","OBV","SmoothedClose"
2020-01-02,53.9799995422363,54.439998626709,53.75,54.3300018310547,17509700,35.1300315856934,NA,NA,NA,NA,NA,NA,17509700,54.3300018310547
2020-01-03,53.6800003051758,54.5,53.5800018310547,53.9300003051758,17284800,34.8713912963867,NA,NA,NA,NA,NA,NA,224900,54.1300010681152
2020-01-06,53.7999992370605,53.7999992370605,53.1500015258789,53.6100006103516,32787800,34.664478302002,NA,NA,NA,NA,NA,NA,-32562900,53.8700008392334
2020-01-07,53.5,54.189998626709,53.4000015258789,54,16326400,34.9166526794434,NA,NA,NA,NA,NA,NA,-16236500,53.9350004196167
2020-01-08,54.2000007629395,54.3699989318848,53.6199989318848,54.0099983215332,15298500,34.9231147766113,NA,NA,NA,NA,NA,NA,-938000,53.972499370575
2020-01-09,53.75,53.8699989318848,53.0499992370605,53.2999992370605,14638000,34.4640274047852,NA,NA,NA,NA,NA,NA,-15576000,53.6362493038177
2020-01-10,53.75,53.8699989318848,53.1100006103516,53.3600006103516,9129200,34.5028266906738,NA,NA,NA,NA,NA,NA,-6446800,53.4981249570847
2020-01-13,53.6399993896484,55.6399993896484,53.5099983215332,55.2999992370605,27497400,35.7572364807129,NA,NA,NA,NA,NA,NA,21050600,54.3990620970726
2020-01-14,55.2999992370605,56.3499984741211,55,55.6399993896484,27817000,35.9770812988281,NA,NA,NA,NA,NA,NA,48867600,55.0195307433605
2020-01-15,55.2999992370605,56.0800018310547,55.1100006103516,55.4599990844727,21425300,35.8606948852539,NA,NA,NA,NA,NA,NA,27442300,55.2397649139166
2020-01-16,55.5999984741211,55.9500007629395,55.0999984741211,55.1699981689453,13149100,35.6731758117676,NA,NA,NA,NA,NA,NA,14293200,55.204881541431
2020-01-17,56.25,57.0900001525879,56.0999984741211,57,36524100,36.8564643859863,NA,NA,NA,NA,NA,NA,50817300,56.1024407707155
2020-01-20,57,57.3600006103516,56.5299987792969,57.3600006103516,16746300,37.089241027832,NA,NA,NA,NA,NA,5.42706126661905,67563600,56.7312206905335
2020-01-21,56.7999992370605,57.0099983215332,55.7400016784668,56.0299987792969,25436800,36.2292556762695,NA,0.69141498671052,0.308585013289481,NA,NA,3.82003247827201,42126800,56.3806097349152
2020-01-22,56.5999984741211,56.8499984741211,56.060001373291,56.2999992370605,17269400,36.4038391113281,61.6844391651112,0.754060084560571,0.245939915439429,NA,NA,4.89588923698436,59396200,56.3403044859879
2020-01-23,55.4300003051758,55.7299995422363,54.7099990844727,55.5,23028900,35.8865623474121,55.9648861015302,0.56844547153095,0.43155452846905,NA,NA,2.7398974188114,36367300,55.9201522429939
